from_id,to_id
1,2
1,3
1,4
1,5
1,6
1,7
2,1
2,3
2,4
2,5
2,6
2,8
3,1
3,2
3,4
3,5
3,6
3,9
4,1
4,2
4,3
4,5
4,6
4,10
5,1
5,2
5,3
5,4
5,6
5,11
6,1
6,2
6,3
6,4
6,5
6,12
7,1
7,8
7,9
7,10
7,11
7,13
8,2
8,7
8,9
8,10
8,11
8,14
9,3
9,7
9,8
9,10
9,11
9,15
10,4
10,7
10,8
10,9
10,11
10,16
11,5
11,7
11,8
11,9
11,10
11,17
12,6
12,13
12,14
12,15
12,16
12,18
13,7
13,12
13,14
13,15
13,16
13,19
14,8
14,12
14,13
14,15
14,16
14,20
15,9
15,12
15,13
15,14
15,16
15,21
16,10
16,12
16,13
16,14
16,15
16,22
17,11
17,18
17,19
17,20
17,21
17,23
18,12
18,17
18,19
18,20
18,21
18,24
19,13
19,17
19,18
19,20
19,21
19,25
20,14
20,17
20,18
20,19
20,21
20,26
21,15
21,17
21,18
21,19
21,20
21,27
22,16
22,23
22,24
22,25
22,26
22,28
23,17
23,22
23,24
23,25
23,26
23,29
24,18
24,22
24,23
24,25
24,26
24,30
25,19
25,22
25,23
25,24
25,26
25,31
26,20
26,22
26,23
26,24
26,25
26,32
27,21
27,28
27,29
27,30
27,31
27,33
28,22
28,27
28,29
28,30
28,31
28,34
29,23
29,27
29,28
29,30
29,31
29,35
30,24
30,27
30,28
30,29
30,31
30,36
31,25
31,27
31,28
31,29
31,30
31,37
32,26
32,33
32,34
32,35
32,36
32,38
33,27
33,32
33,34
33,35
33,36
33,39
34,28
34,32
34,33
34,35
34,36
34,40
35,29
35,32
35,33
35,34
35,36
35,41
36,30
36,32
36,33
36,34
36,35
36,42
37,31
37,38
37,39
37,40
37,41
37,43
38,32
38,37
38,39
38,40
38,41
38,44
39,33
39,37
39,38
39,40
39,41
39,45
40,34
40,37
40,38
40,39
40,41
40,46
41,35
41,37
41,38
41,39
41,40
41,47
42,36
42,43
42,44
42,45
42,46
42,48
43,37
43,42
43,44
43,45
43,46
43,49
44,38
44,42
44,43
44,45
44,46
44,50
45,39
45,42
45,43
45,44
45,46
45,51
46,40
46,42
46,43
46,44
46,45
46,52
47,41
47,48
47,49
47,50
47,51
47,53
48,42
48,47
48,49
48,50
48,51
48,54
49,43
49,47
49,48
49,50
49,51
49,55
50,44
50,47
50,48
50,49
50,51
50,56
51,45
51,47
51,48
51,49
51,50
51,57
52,46
52,53
52,54
52,55
52,56
52,58
53,47
53,52
53,54
53,55
53,56
53,59
54,48
54,52
54,53
54,55
54,56
54,60
55,49
55,52
55,53
55,54
55,56
55,61
56,50
56,52
56,53
56,54
56,55
56,62
57,51
57,58
57,59
57,60
57,61
57,63
58,52
58,57
58,59
58,60
58,61
58,64
59,53
59,57
59,58
59,60
59,61
59,65
60,54
60,57
60,58
60,59
60,61
60,66
61,55
61,57
61,58
61,59
61,60
61,67
62,56
62,63
62,64
62,65
62,66
62,68
63,57
63,62
63,64
63,65
63,66
63,69
64,58
64,62
64,63
64,65
64,66
64,70
65,59
65,62
65,63
65,64
65,66
65,71
66,60
66,62
66,63
66,64
66,65
66,72
67,61
67,68
67,69
67,70
67,71
67,73
68,62
68,67
68,69
68,70
68,71
68,74
69,63
69,67
69,68
69,70
69,71
69,75
70,64
70,67
70,68
70,69
70,71
70,76
71,65
71,67
71,68
71,69
71,70
71,77
72,66
72,73
72,74
72,75
72,76
72,78
73,67
73,72
73,74
73,75
73,76
73,79
74,68
74,72
74,73
74,75
74,76
74,80
75,69
75,72
75,73
75,74
75,76
75,81
76,70
76,72
76,73
76,74
76,75
76,82
77,71
77,78
77,79
77,80
77,81
77,83
78,72
78,77
78,79
78,80
78,81
78,84
79,73
79,77
79,78
79,80
79,81
79,85
80,74
80,77
80,78
80,79
80,81
80,86
81,75
81,77
81,78
81,79
81,80
81,87
82,76
82,83
82,84
82,85
82,86
82,88
83,77
83,82
83,84
83,85
83,86
83,89
84,78
84,82
84,83
84,85
84,86
84,90
85,79
85,82
85,83
85,84
85,86
85,91
86,80
86,82
86,83
86,84
86,85
86,92
87,81
87,88
87,89
87,90
87,91
87,93
88,82
88,87
88,89
88,90
88,91
88,94
89,83
89,87
89,88
89,90
89,91
89,95
90,84
90,87
90,88
90,89
90,91
90,96
91,85
91,87
91,88
91,89
91,90
91,97
92,86
92,93
92,94
92,95
92,96
92,98
93,87
93,92
93,94
93,95
93,96
93,99
94,88
94,92
94,93
94,95
94,96
94,100
95,89
95,92
95,93
95,94
95,96
95,1
96,90
96,92
96,93
96,94
96,95
96,2
97,91
97,98
97,99
97,100
97,1
97,3
98,92
98,97
98,99
98,100
98,1
98,4
99,93
99,97
99,98
99,100
99,1
99,5
100,94
100,97
100,98
100,99
100,1
100,6 
