from_id,to_id
1,1
1,2
1,3
2,4
2,5
3,6
3,7
4,8
4,9
5,10
5,11
6,12
7,13
7,14
7,15
8,16
8,17
9,18
9,19
10,20
10,21
10,22
11,23
11,24
12,25
13,26
13,27
13,28
14,29
14,30
15,31
15,32
16,33
16,34
17,35
17,36
18,37
18,38
19,39
19,40
20,41
20,42
21,43
22,44
22,45
23,46
23,47
24,48
24,49
25,50
25,51
26,52
26,53
27,54
27,55
28,56
28,57
29,58
29,59
30,60
31,61
31,62
32,63
32,64
33,65
33,66
34,67
34,68
35,69
35,70
36,71
36,72
37,73
37,74
38,75
38,76
39,77
39,78
40,79
40,80
40,81
41,82
41,83
42,84
42,85
43,86
43,87
44,88
44,89
45,90
45,91
46,92
46,93
47,94
47,95
48,96
48,97
49,98
49,99
50,100
51,101
51,102
52,103
52,104
53,105
53,106
54,107
54,108
55,109
55,110
56,111
56,112
57,113
57,114
58,115
58,116
59,117
59,118
60,119
60,120
61,121
61,122
62,123
62,124
63,125
63,126
64,127
64,128
65,129
65,130
66,131
66,132
67,133
67,134
68,135
68,136
69,137
69,138
70,139
70,140
71,141
71,142
72,143
72,144
73,145
73,146
74,147
74,148
75,149
75,150
76,151
76,152
77,153
77,154
78,155
78,156
79,157
79,158
80,159
80,160
81,161
81,162
82,163
82,164
83,165
83,166
84,167
84,168
85,169
85,170
86,171
86,172
87,173
87,174
88,175
88,176
89,177
89,178
90,179
90,180
91,181
91,182
92,183
92,184
93,185
93,186
94,187
94,188
95,189
95,190
96,191
96,192
97,193
97,194
98,195
98,196
99,197
99,198
100,199
100,200 
