id,name,type_place,rating,description
1,Hagia Sophia,monument,4.8,Historic mosque and museum in Istanbul.
2,Blue Mosque,mosque,4.7,Iconic mosque in Istanbul.
3,Grand Bazaar,market,4.6,Large covered market in Istanbul.
4,Anitkabir,monument,4.8,Mausoleum of Ataturk in Ankara.
5,Kocatepe Mosque,mosque,4.7,Modern mosque in Ankara.
6,Alsancak,neighborhood,4.6,Popular district in Izmir.
7,Kordon,coast,4.7,Seaside promenade in Izmir.
8,Rijksmuseum,museum,4.9,Famous art museum in Amsterdam.
9,Vondelpark,park,4.8,Amsterdam's most famous park.
10,Rotterdam Zoo,zoo,4.7,Large zoo in Rotterdam.
11,Markthal,market,4.6,Modern market hall in Rotterdam.
12,Dom Tower,tower,4.7,Historic tower in Utrecht.
13,Eiffel Tower,monument,4.9,Iconic Parisian landmark.
14,Louvre Museum,museum,4.9,World's largest art museum in Paris.
15,Notre Dame,cathedral,4.8,Famous cathedral in Paris.
16,Old Lyon,neighborhood,4.7,Historic district in Lyon.
17,Basilica of Notre-Dame de Fourvière,church,4.8,Major basilica in Lyon.
18,Old Port,harbor,4.7,Historic port in Marseille.
19,Château d'If,castle,4.6,Famous island fortress in Marseille.
20,Brandenburg Gate,monument,4.8,Historic gate in Berlin.
21,Berlin Wall Memorial,memorial,4.7,Remains of the Berlin Wall.
22,Museum Island,museum,4.9,Group of museums in Berlin.
23,Miniatur Wunderland,exhibit,4.8,Model railway in Hamburg.
24,Elbphilharmonie,concert_hall,4.7,Modern concert hall in Hamburg.
25,Main Tower,skyscraper,4.6,Observation deck in Frankfurt.
26,Colosseum,monument,4.9,Ancient Roman amphitheater in Rome.
27,St. Peter's Basilica,church,4.9,Major basilica in Vatican City.
28,Spanish Steps,stairs,4.7,Famous steps in Rome.
29,Duomo di Milano,cathedral,4.8,Cathedral in Milan.
30,Sforza Castle,castle,4.7,Historic castle in Milan.
31,Piazza del Plebiscito,square,4.7,Main square in Naples.
32,Castel dell'Ovo,castle,4.6,Seaside castle in Naples.
33,Prado Museum,museum,4.9,Famous art museum in Madrid.
34,Retiro Park,park,4.8,Large park in Madrid.
35,Camp Nou,stadium,4.7,Home of FC Barcelona.
36,La Rambla,street,4.6,Famous street in Barcelona.
37,City of Arts and Sciences,complex,4.8,Modern complex in Valencia.
38,Valencia Cathedral,cathedral,4.7,Historic cathedral in Valencia.
